Job Title,Company Name,Location,Salary Estimate,Rating,Job Description
Principal Member of technical Staff- AI & Data Engineering,"Athenahealth
4.1",Chennai,N/A,N/A,N/A
AI or ML Engineer - Azure Platform,"Optum
3.5",Hyderābād,N/A,N/A,N/A
"Data Scientist / Senior Data Scientist, India - BCG X","Boston Consulting Group
4.2",Mumbai,N/A,4.2,N/A
Engineer – Marketing Data & AI,"Electrolux
4.0",Bengaluru,₹7L – ₹9L/yr (Glassdoor est.),4.0,N/A
Artificial Intelligence (AI) Teacher,Nalanda Vidyaniketan,Vijayawāda,₹25K/mo (Employer est.),N/A,N/A
Senior AI Engineers - Data Science Products,"Novartis
4.0",Hyderābād,₹4L – ₹8L/yr (Glassdoor est.),N/A,N/A
Manager - Advanced Analytics,"Novartis
4.0",Hyderābād,N/A,N/A,N/A
DATA SCIENTIST : Freshers (0-2 Years),"REIZEND PRIVATE LIMITED
3.2",India,₹4L – ₹6L/yr (Employer est.),3.3,N/A
Data Analyst Intern,Labmentix,Remote,N/A,4.3,N/A
Data Scientist/Analyst,"Sumeru
3.3",Remote,N/A,3.3,N/A
Data Scientist,"Blenheim Chalcot India
3.2",Mumbai,N/A,3.2,N/A
Data Scientist,"Confident
4.1",Chennai,₹6L – ₹19L/yr (Employer est.),4.1,N/A
Data Scientist Intern,"SoulPage IT Solutions
4.4",Hyderābād,₹20K/mo (Employer est.),4.4,N/A
NLP Data Scientist,"L&T Technology Services Limited.
3.3",Bengaluru,N/A,3.3,N/A
Data Scientist,"ITSWS Technologies Pvt. Ltd.
4.0",Remote,₹60K – ₹70K/mo (Employer est.),4.0,N/A
Data Scientist - I,"G2
3.8",Bengaluru,N/A,3.9,N/A
Jr Data Scientist (AI/ML),"Bosch Group
4.1",Bengaluru,N/A,4.1,N/A
Data Scientist II,"Microsoft
4.2",Bengaluru,₹2L – ₹10L/yr (Glassdoor est.),4.2,N/A
Data Scientist,"Spotify
4.0",Mumbai,₹3L – ₹9L/yr (Glassdoor est.),4.0,N/A
Principal Member of technical Staff- AI & Data Engineering,"Athenahealth
4.1",Chennai,₹5L – ₹8L/yr (Glassdoor est.),4.1,N/A
AI or ML Engineer - Azure Platform,"Optum
3.5",Hyderābād,₹1L – ₹6L/yr (Glassdoor est.),3.5,N/A
"Data Scientist / Senior Data Scientist, India - BCG X","Boston Consulting Group
4.2",Mumbai,N/A,4.2,N/A
Engineer – Marketing Data & AI,"Electrolux
4.0",Bengaluru,₹7L – ₹9L/yr (Glassdoor est.),4.0,N/A
Artificial Intelligence (AI) Teacher,Nalanda Vidyaniketan,Vijayawāda,₹25K/mo (Employer est.),N/A,N/A
Senior AI Engineers - Data Science Products,"Novartis
4.0",Hyderābād,₹4L – ₹8L/yr (Glassdoor est.),N/A,N/A
Manager - Advanced Analytics,"Novartis
4.0",Hyderābād,N/A,N/A,N/A
DATA SCIENTIST : Freshers (0-2 Years),"REIZEND PRIVATE LIMITED
3.2",India,₹4L – ₹6L/yr (Employer est.),3.3,N/A
Data Analyst Intern,Labmentix,Remote,N/A,4.3,N/A
Data Scientist/Analyst,"Sumeru
3.3",Remote,N/A,3.3,N/A
Data Scientist,"Blenheim Chalcot India
3.2",Mumbai,N/A,3.2,N/A
